City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Avera,US,33.194,-82.5271,72.91,77,80,13.0,broken clouds
203,Hammerum,DK,56.1336,9.0612,53.51,87,100,2.3,overcast clouds
204,Norman Wells,CA,65.282,-126.8329,14.04,92,75,0.0,broken clouds
205,Gillette,US,44.2911,-105.5022,41.92,26,0,5.75,clear sky
206,Henties Bay,NA,-22.116,14.2845,59.99,83,0,10.65,clear sky
207,Qaanaaq,GL,77.484,-69.3632,1.29,68,83,3.18,broken clouds
208,Camana,PE,-16.6228,-72.7111,67.03,79,29,7.36,scattered clouds
209,Tiznit,MA,29.5833,-9.5,69.53,23,8,10.65,clear sky
210,Caravelas,BR,-17.7125,-39.2481,75.81,82,79,8.9,broken clouds
211,Malindi,KE,-3.2175,40.1191,77.09,86,74,7.29,broken clouds
212,Shache,CN,38.4167,77.2406,36.82,36,12,1.59,few clouds
213,Nome,US,64.5011,-165.4064,23.07,74,0,11.5,clear sky
214,Aripuana,BR,-9.1667,-60.6333,83.66,54,68,2.21,light rain
215,Huarmey,PE,-10.0681,-78.1522,67.37,75,56,10.04,broken clouds
216,Svetlogorsk,BY,52.6333,29.7333,48.04,91,65,11.34,broken clouds
217,Tuatapere,NZ,-46.1333,167.6833,48.69,96,100,1.88,light rain
218,Mar Del Plata,AR,-38.0023,-57.5575,67.08,95,100,5.75,overcast clouds
219,Erdaojiang,CN,41.7764,126.0319,19.45,95,80,3.62,broken clouds
220,Codrington,AU,-38.2667,141.9667,59.31,94,73,4.79,broken clouds
221,Baykit,RU,61.67,96.37,17.74,96,100,2.89,light snow
222,Kahului,US,20.8947,-156.47,80.96,73,40,14.97,light rain
223,Hohhot,CN,40.8106,111.6522,17.89,86,0,6.71,clear sky
224,Margate,GB,51.3813,1.3862,54.9,95,69,3.0,broken clouds
225,Cayenne,GF,4.9333,-52.3333,77.04,94,75,3.44,broken clouds
226,Lavrentiya,RU,65.5833,-171.0,15.4,83,9,12.08,clear sky
227,Suraabad,AZ,40.8192,49.4687,54.1,81,7,6.93,clear sky
228,Weihai,CN,37.5017,122.1136,44.37,63,16,30.89,few clouds
229,Kodinsk,RU,58.6881,99.1844,26.1,95,100,5.99,light snow
230,Superior,US,46.7208,-92.1041,28.76,63,100,10.36,overcast clouds
231,Soyo,AO,-6.1349,12.3689,77.23,76,8,10.29,clear sky
232,Veraval,IN,20.9,70.3667,76.33,48,1,10.49,clear sky
233,Pulivendla,IN,14.4167,78.2333,71.49,96,100,4.7,overcast clouds
234,Cesky Krumlov,CZ,48.8109,14.3152,47.97,72,41,1.1,scattered clouds
